genename,Test_Os1,Test_Os2,Test_Os3,Test_Ch1,Test_Ch2,Test_Ch3,Test_Ad1,Test_Ad2,Test_Ad3,Test_MSC1,Test_MSC2,Test_MSC3
ABHD17AP8,4,0,0,0,0,0,0,0,0,0,0,0
ABHD17B,30,4,18,339,232,312,6,167,203,0,282,214
ABHD17C,22,3,6,45,70,91,1,59,47,27,208,121
ABHD18,50,0,6,83,196,153,2,157,137,126,322,111
ABHD2,23,10,21,4426,2431,2888,5,199,2387,108,4884,4917
ABHD3,44,0,1,15,35,33,2,30,90,149,47,32
ABHD4,43,3,19,165,220,246,10,423,1568,147,580,654
ABHD5,87,2,9,360,401,612,12,646,1300,375,705,464
ABHD6,1,2,0,75,150,165,0,30,88,50,173,87
ABHD8,1,2,0,29,18,9,0,28,151,0,48,234
ABI1,185,4,18,741,992,1204,9,701,675,348,1840,729
ABI1P1,0,0,0,0,8,0,0,0,0,0,0,0
ABI2,135,8,26,673,507,961,13,256,702,445,1416,1357
ABI3,0,0,0,0,3,0,0,0,0,0,1,0
ABI3BP,54,13,15,690,729,1337,11,445,261,120,3345,5435
ABITRAM,41,0,1,59,75,217,3,144,229,184,181,127
ABITRAMP1,0,0,0,10,0,0,0,0,0,0,0,0
ABL1,85,3,7,980,971,875,19,1123,2585,281,2030,5506
ABL2,130,12,29,3567,5211,2146,11,312,740,518,2822,1999
ABLIM1,6,0,1,126,90,34,0,49,86,51,1334,116
ABLIM2,0,0,1,4,1,13,1,1,3,0,1,0
ABLIM3,357,7,14,1418,2492,2941,17,347,166,232,249,328
ABO,0,0,0,39,11,22,0,1,0,0,0,0
ABR,70,11,12,875,876,748,6,109,890,96,1347,2016
ABRA,0,0,0,6,0,0,0,0,1,0,2,1
ABRACL,105,12,9,99,185,333,6,216,45,188,329,137
ABRAXAS1,74,8,7,123,333,265,5,88,484,71,599,313
ABRAXAS2,51,1,8,466,439,686,2,305,301,165,596,265
ABT1,32,6,2,112,141,90,3,195,238,91,155,259
ABT1P1,0,0,0,0,0,1,0,0,0,0,0,0
ABTB1,20,0,2,6,6,39,3,25,232,15,93,330
ABTB2,10,1,2,57,68,90,6,162,170,0,173,250
AC000032.1,0,0,0,0,0,0,0,0,0,0,0,0
AC000036.1,0,0,0,0,0,0,0,0,0,0,0,0
AC000050.1,0,0,0,0,0,0,0,0,0,0,0,0
AC000058.1,0,0,0,0,0,0,0,0,0,0,0,1
AC000065.1,0,0,0,40,29,30,0,0,1,0,53,9
AC000065.2,0,0,0,24,69,15,0,1,0,0,20,1
AC000067.1,0,0,0,0,0,0,0,0,0,0,1,0
AC000068.1,0,0,0,5,0,0,0,0,1,0,9,3
AC000068.2,0,0,0,0,0,0,0,0,1,0,1,0
AC000072.1,0,0,0,2,0,0,0,1,5,0,4,3
AC000077.1,0,0,0,0,0,0,0,0,0,0,0,0
AC000078.1,0,0,0,3,17,4,0,0,0,0,2,6
AC000081.1,0,0,0,7,0,0,0,0,0,0,0,0
AC000081.2,0,0,0,0,0,0,0,0,0,0,0,0
AC000082.1,0,0,0,0,0,0,0,0,0,0,0,0
AC000085.1,0,0,0,7,0,2,0,0,3,0,7,0
AC000089.1,0,0,0,1,16,0,0,0,5,0,0,2
AC000093.1,0,0,0,1,12,1,0,0,10,0,8,8
AC000095.3,0,0,0,0,0,8,0,0,1,0,0,0
AC000111.2,0,0,0,0,0,0,0,0,0,0,0,0
AC000113.1,0,0,0,0,0,0,0,0,0,0,0,0
AC000120.1,0,0,0,0,0,0,0,0,0,0,0,0
AC000120.2,0,0,0,1,12,26,0,1,3,0,19,7
AC000120.3,0,0,0,0,0,0,0,0,0,0,0,0
AC000120.4,0,0,0,0,0,0,0,0,0,0,0,0
AC000123.1,0,0,0,25,1,0,0,3,7,0,15,4
AC000123.2,0,0,0,12,14,16,0,0,5,0,5,6
AC000123.3,5,1,0,153,210,99,0,13,70,0,171,77
AC000124.1,0,0,0,0,0,0,0,0,0,0,0,0
AC000362.1,0,0,0,0,0,0,0,0,0,0,0,0
AC000367.1,0,0,0,0,6,0,0,0,0,0,0,0
AC000372.1,0,0,0,8,0,0,0,0,0,0,0,0
AC000374.1,0,0,0,1,0,0,0,0,0,0,0,0
AC000403.1,0,0,0,23,9,37,0,5,35,0,75,38
AC001226.1,0,0,0,12,0,0,0,0,0,40,0,0
AC001226.2,0,0,0,25,7,57,0,4,6,0,57,4
AC002044.1,0,0,0,0,25,0,0,0,0,0,0,0
AC002044.2,0,0,0,3,0,0,0,0,1,0,0,8
AC002044.3,0,0,0,7,12,0,1,0,2,0,0,1
AC002056.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002056.2,0,0,0,0,0,0,0,0,0,0,0,0
AC002057.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002057.2,0,0,0,0,0,0,0,0,0,0,0,0
AC002059.1,0,0,0,1,0,0,0,0,0,0,0,0
AC002059.2,0,0,0,0,0,0,0,0,0,0,0,0
AC002059.3,0,0,0,0,0,8,0,0,2,0,0,1
AC002064.1,0,0,0,0,0,0,0,0,0,0,1,1
AC002064.2,0,0,0,0,0,0,0,0,1,0,8,0
AC002064.3,0,2,0,0,0,0,0,0,0,0,0,0
AC002066.1,17,0,3,3,0,2,0,10,2,35,10,0
AC002069.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002069.2,0,0,0,21,0,0,0,0,0,0,0,0
AC002069.3,0,0,0,2,0,0,0,0,0,0,0,0
AC002069.4,0,0,0,0,0,0,0,0,0,0,0,0
AC002070.1,0,0,0,2,0,0,0,4,4,0,3,3
AC002072.1,0,0,0,2,0,0,0,0,0,0,0,0
AC002074.1,20,0,2,13,27,12,4,25,2,37,17,5
AC002074.2,37,3,2,4,14,1,3,141,0,0,2,0
AC002075.1,0,0,0,1,0,0,0,0,0,0,0,0
AC002075.2,1,0,0,0,2,1,0,1,0,0,1,0
AC002076.1,0,0,0,4,0,0,0,0,0,0,0,0
AC002076.2,0,0,0,0,0,0,0,0,0,0,0,0
AC002090.1,0,0,0,5,0,0,0,0,0,0,0,0
AC002091.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002091.2,0,0,0,0,0,0,0,0,0,0,0,0
AC002094.1,0,0,0,0,0,0,0,0,0,0,1,0
AC002094.4,0,0,0,14,0,0,0,0,1,0,3,0
AC002094.5,0,0,2,0,12,25,0,0,0,0,3,6
AC002101.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002115.1,0,0,0,5,0,0,0,0,0,0,0,0
AC002116.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002116.2,0,0,0,0,0,0,0,2,2,0,0,0
